"TV","SPEAKER","GENDER","AGE","REGION"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"vous","F03L","female",50,"paris"
"vous","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"vous","F03L","female",50,"paris"
"vous","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"vous","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"vous","F03L","female",50,"paris"
"vous","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03L","female",50,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"vous","F03R","female",40,"paris"
"vous","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"vous","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"tu","F03R","female",40,"paris"
"vous","F03R","female",40,"paris"
